id,name,name_en,name_kana,lat,lon,place_type,is_in,old_name,all_tags
57519541,"神楽坂","Kagurazaka","かぐらざか",35.7010851,139.7412287,quarter,"","","{""name"":""神楽坂"",""name:en"":""Kagurazaka"",""name:es"":""Kagurazaka"",""name:ja-Hira"":""かぐらざか"",""name:ja_rm"":""Kagurazaka"",""name:ru"":""Кагурадзака"",""place"":""quarter"",""wikidata"":""Q3275957"",""wikipedia"":""ja:神楽坂""}"
57533371,"恵比寿","Ebisu","えびす",35.6462954,139.714385,quarter,"","","{""name"":""恵比寿"",""name:en"":""Ebisu"",""name:es"":""Ebisu"",""name:ja"":""恵比寿"",""name:ja-Hira"":""えびす"",""name:ja_rm"":""Ebisu"",""name:ko"":""에비스"",""name:ru"":""Эбису"",""place"":""quarter""}"
57534062,"広尾","Hiroo","ひろお",35.6522569,139.7175844,quarter,"","","{""name"":""広尾"",""name:en"":""Hiroo"",""name:ja"":""広尾"",""name:ja-Hira"":""ひろお"",""name:ko"":""히로"",""place"":""quarter""}"
57536180,"新橋","Shinbashi","しんばし",35.6651059,139.7561163,quarter,"","","{""name"":""新橋"",""name:en"":""Shinbashi"",""name:es"":""Shinbashi"",""name:fr"":""Shinbashi"",""name:ja"":""新橋"",""name:ja-Hira"":""しんばし"",""name:ja-Latn"":""Shinbashi"",""name:ru"":""Синбаси"",""place"":""quarter"",""postal_code"":""105-0004"",""wikidata"":""Q1347299""}"
57542928,"五反田","Gotanda","ごたんだ",35.6283773,139.721783,quarter,"Japan, Tokyo","","{""is_in"":""Japan, Tokyo"",""name"":""五反田"",""name:en"":""Gotanda"",""name:es"":""Gotanda"",""name:ja"":""五反田"",""name:ja-Hira"":""ごたんだ"",""place"":""quarter"",""wikidata"":""Q3091005"",""wikipedia"":""en:Gotanda""}"
661127358,"上原","Uehara","うえはら",35.6669782,139.6806824,quarter,"","","{""name"":""上原"",""name:en"":""Uehara"",""name:ja"":""上原"",""name:ja-Hira"":""うえはら"",""name:ko"":""우에하라"",""place"":""quarter""}"
777895924,"東中野","Higashi-Nakano","ひがしなかの",35.7044839,139.6832333,quarter,"中野区 (Nakano)","","{""is_in"":""中野区 (Nakano)"",""name"":""東中野"",""name:en"":""Higashi-Nakano"",""name:ja"":""東中野"",""name:ja-Hira"":""ひがしなかの"",""place"":""quarter""}"
790014996,"旭町","","",35.7698455,139.6250974,quarter,"練馬区 (Nerima)","","{""is_in"":""練馬区 (Nerima)"",""name"":""旭町"",""place"":""quarter""}"
790668011,"松濤","Shoto","しょうとう",35.6607632,139.6920068,quarter,"","","{""name"":""松濤"",""name:en"":""Shoto"",""name:ja"":""松濤"",""name:ja-Hira"":""しょうとう"",""name:ja_rm"":""Shōtō"",""name:ko"":""쇼토"",""name:ru"":""Сёто"",""place"":""quarter""}"
790668142,"新井","Arai","あらい",35.7133664,139.66418,quarter,"","","{""name"":""新井"",""name:en"":""Arai"",""name:fr"":""Arai"",""name:ja"":""新井"",""name:ja-Hira"":""あらい"",""name:ja-Latn"":""Arai"",""place"":""quarter"",""wikidata"":""Q11501133""}"
790670718,"高松","Takamatsu","",35.7504853,139.6298966,quarter,"練馬区 (Nerima)","","{""is_in"":""練馬区 (Nerima)"",""name"":""高松"",""name:en"":""Takamatsu"",""name:ja_rm"":""Takamatu"",""place"":""quarter""}"
790757596,"上落合","Kami-ochiai","",35.7114276,139.6836606,quarter,"新宿区 (Shinjyuku)","","{""is_in"":""新宿区 (Shinjyuku)"",""name"":""上落合"",""name:en"":""Kami-ochiai"",""name:ja"":""上落合"",""name:ja_rm"":""Kami otiai"",""place"":""quarter""}"
792571518,"本町","Honcho","ほんちょう",35.6959247,139.6742379,quarter,"","","{""name"":""本町"",""name:en"":""Honcho"",""name:ja"":""本町"",""name:ja-Hira"":""ほんちょう"",""name:ru"":""Хонтё"",""place"":""quarter""}"
792571529,"弥生町","Yayoicho","やよいちょう",35.6908488,139.6755198,quarter,"","","{""name"":""弥生町"",""name:en"":""Yayoicho"",""name:ja"":""弥生町"",""name:ja-Hira"":""やよいちょう"",""name:ru"":""Яёи-тё"",""place"":""quarter""}"
806413872,"若宮","Wakamiya","わかみや",35.7185235,139.6456514,quarter,"中野区 (Nakano)","","{""is_in"":""中野区 (Nakano)"",""name"":""若宮"",""name:en"":""Wakamiya"",""name:ja"":""若宮"",""name:ja-Hira"":""わかみや"",""name:ja_rm"":""Wakamiya"",""place"":""quarter""}"
806413957,"高円寺北","Kōenji-north","こうえんじきた",35.7073164,139.6548546,quarter,"","","{""name"":""高円寺北"",""name:en"":""Kōenji-north"",""name:fr"":""Kōenji-nord"",""name:ja-Hira"":""こうえんじきた"",""name:ja-Latn"":""Kōenji-kita"",""place"":""quarter"",""postal_code"":""166-0002"",""wikidata"":""Q124708265"",""wikipedia"":""ja:高円寺北""}"
809692508,"上高田","Kamitakada","かみたかだ",35.712836,139.6747493,quarter,"中野区 (Nakano)","","{""is_in"":""中野区 (Nakano)"",""name"":""上高田"",""name:en"":""Kamitakada"",""name:ja"":""上高田"",""name:ja-Hira"":""かみたかだ"",""name:ja_rm"":""Kamitakada"",""place"":""quarter""}"
